|                      Parameters |                      0 |                      1 |   2 |                      3 |   4 |                      5 |                      6 |                      7 |                      8 |   9 |                     10 |                     11 |                      12 |                      13 |  14 |                      15 |                      16 |                     17 |  18 |  19 |                    20 |                     21 |  22 |                     23 |                    24 |                     25 |  26 |  27 |                     28 |                     29 |  30 |
|             1745.spectral.index |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |   0.0011872372472780098 |   3.107676211696475e-19 | 0.0 |  -5.739074998961713e-06 | -1.5911014383417986e-06 |  -0.000184373246590287 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|         1745.spectral.amplitude |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |   3.107676211696475e-19 |   2.848281733465196e-33 | 0.0 | -2.6239047863495167e-21 |  -6.793289598810019e-22 | -8.525167368882462e-20 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|         1745.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              1745.spatial.lon_0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |  -5.739074998961713e-06 | -2.6239047863495167e-21 | 0.0 |     0.04180424543349297 |   2.122960039986974e-08 | 1.5743533676491462e-06 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              1745.spatial.lat_0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | -1.5911014383417986e-06 |  -6.793289598810019e-22 | 0.0 |   2.122960039986974e-08 |     0.08998408006343511 |  4.364803622231369e-07 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              1745.spatial.sigma |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |   -0.000184373246590287 |  -8.525167368882462e-20 | 0.0 |  1.5743533676491462e-06 |   4.364803622231369e-07 | 5.0576918771312114e-05 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                  1745.spatial.e |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|                1745.spatial.phi |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|             1746.spectral.index |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 6.759321970560572e-07 |  1.070425501505334e-21 | 0.0 |  3.935871055798323e-08 | 3.585177739468184e-08 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|         1746.spectral.amplitude |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 1.070425501505334e-21 | 2.3576120427530544e-34 | 0.0 |  6.292668380116158e-23 | 5.731978408668606e-23 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|         1746.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              1746.spatial.lon_0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 3.935871055798323e-08 |  6.292668380116158e-23 | 0.0 | 2.3360015902382885e-09 | 2.107603546925529e-09 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              1746.spatial.lat_0 |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 | 3.585177739468184e-08 |  5.731978408668606e-23 | 0.0 |  2.107603546925529e-09 | 1.944165301830371e-09 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              diff.spectral.norm |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 | 1.4996952833526855e-07 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|              diff.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|         diff.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
|      gdb7U_vs-bkg.spectral.norm |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 |  2.693930741041162e-12 | 1.5119797614418263e-11 | 0.0 |
|      gdb7U_vs-bkg.spectral.tilt |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 | 1.5119797614418263e-11 | 1.1394379145989985e-10 | 0.0 |
| gdb7U_vs-bkg.spectral.reference |                    0.0 |                    0.0 | 0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 |                    0.0 | 0.0 | 0.0 |                   0.0 |                    0.0 | 0.0 |                    0.0 |                   0.0 |                    0.0 | 0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 |
